dspKey,measureId,statTime,shows,clicks,requests,responses,wins,cid,adType,costs
hongtu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,0,0,135234,0,0,5,5,0
moyicheng-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,0,0,55214,0,0,27,1,0
jiatou-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,747,32,118220,33360,4813,27,3,6.07104
fancy-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,84,0,128569,163,102,27,5,0.49138
fancy-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,1468,7,762363,3647,2137,5,5,8.43171
fancy-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,4260,66,1959017,186082,45119,5,3,29.97647
hongtu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,4673,64,2162094,76122,50790,5,3,31.22441
zhixing-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,474,31,137250,4592,824,27,1,14.28709
anx-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,0,0,132008,0,0,27,5,0
youtou-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,0,0,115918,0,0,5,3,0
wuli-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,1715,80,154044,28023,2751,27,1,53.14826
biyi-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,396,19,110237,18666,2864,27,3,3.15121
bingu-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,109172,0,0,5,1,0
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,238,17,154044,1502,423,27,1,11.38249
jd-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,1075,69,154044,20728,1809,27,1,33.83316
zhimengzhineng-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,47,1,442745,1451,598,5,3,0.24567
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,360,10,895570,13821,623,5,1,6.85809
huanrui-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,100336,0,0,5,1,0
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,316,28,137250,4593,596,27,1,4.74265
360dsp,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,6943,842,231798,9173,8028,36,112,104.145
youtou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,100696,0,0,5,1,0
ipinyou,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,239,11,154044,8488,430,27,1,4.04425
hongtu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,2644,201,62166,9495,3113,36,116,13.26444
youdao,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,49,0,136217,151,65,5,5,0.245
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,363,29,216295,2562,1033,29,118,5.47033
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,537,15,67727,702,702,33,94,2.685
chuanshanjiapd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2746,232,325934,19419,6565,29,118,104.348
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,532,0,294584,1755,665,27,5,2.66
jiatou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,45679,1164,941890,110880,74323,5,1,1735.802
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,400,27,17253,497,497,29,100,2
meishu,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,9,0,118220,5907,79,27,3,0.0315
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,937,111,215055,2800,1663,29,108,19.677
zhimengzhineng-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2708,81,941670,142649,5225,5,1,58.4297
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,1074,30,413285,3556,1449,33,95,5.37
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,1091,65,118220,34374,6809,27,3,6.05721
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,4975,619,205852,6914,5773,36,112,74.625
xinyi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,1049079,15094,0,5,1,0
youdao,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,18,1,330757,925,29,5,1,0.306
bingu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,131740,0,0,5,3,0
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,10575,87,1959017,871315,260772,5,3,52.875
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,0,0,113060,0,0,5,3,0
ksosoft,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,2,0,287111,88,24,5,3,0.01011
chuanshanjia,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,18158,933,941670,273324,33387,5,1,263.71867
jiatou-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,16059,268,1959000,282072,169371,5,3,144.92313
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,189671,533,2026571,853805,547376,5,5,948.355
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,867,47,325934,7454,3715,29,118,18.207
bingu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,0,0,132722,0,0,5,5,0
youtou-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,64230,201,2026544,224410,90841,5,5,321.15
pengjing-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,72,4,118220,2408,481,27,3,0.52479
360dsp,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,121,1,21093,154,131,33,96,0.605
fansukeji-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,0,0,113829,0,0,5,3,0
ksosoft,5a782f1fe4b0df07aae7466f,2020-11-06 15,0,0,150267,0,0,10,23,0
jingzhuntong,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,1255,15,2162077,139244,10738,5,3,11.96854
zhimengzhineng-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,0,0,107771,0,0,5,5,0
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,240,50,137250,2807,374,27,1,10.1761
jiatou-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,758,3,303604,2385,946,27,5,2.1164
qidian,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,12,0,139087,665,20,27,1,0.432
wanzhuan-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,55090,0,0,27,3,0
jixin-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,111531,0,0,5,1,0
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2214,56,623279,23946,3800,5,1,78.07072
jixin-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,0,0,55707,0,0,27,1,0
chuanshanjia,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,30217,673,1959017,775028,342322,5,3,252.79086
ruangaoyun,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2608,85,941890,67522,5688,5,1,43.64873
ruishi-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,65476,0,0,27,1,0
ipinyou-pd,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,625,40,62166,1621,923,36,116,3.4375
jd-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,69,0,162915,83,82,5,5,0.413
wuli-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,35020,867,1049079,288296,56844,5,1,1733.88982
appic-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,2331,23,2162077,65824,24503,5,3,11.72167
wanzhuan-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,0,0,115461,0,0,5,3,0
youtou-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,210,15,137250,3505,391,27,1,5.29021
ruangaoyun,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,504,4,1811075,14404,5014,5,3,3.528
ipinyou,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,424,14,110237,27425,2789,27,3,3.39102
wuli-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,2123,123,110237,50653,13393,27,3,30.04731
xunfei-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,9809,615,355096,94045,17517,40,123,219.79122
ruangaoyun,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,2941,4,333368,3804,3708,27,5,23.528
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,503,108,154044,4541,840,27,1,22.13328
pengjing-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,3584,54,2131202,49086,40662,5,3,21.83628
ipinyou-pd,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,442,22,31316,847,569,29,88,2.431
wangmai-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,14182,1116,941869,124544,35501,5,1,390.75373
ipinyou-pd,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,384,15,137250,7008,660,27,1,8.064
xunfei-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,18337,1292,941691,225669,35861,5,1,424.73325
yidian-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,8027,1356,941691,48175,14113,5,1,483.86026
ksosoft,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,76,0,309237,171,107,5,5,0.38
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,36983,94,947934,63739,53082,5,5,188.6133
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,412,0,275665,1302,572,5,5,2.06
360dsp,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,139,7,32465,591,140,36,117,0.695
